"Data","Valor","Cotas","Tipo"
"2020-05-11Z","8813.8","1","Entrada"
"2020-05-15Z","9318.0","1","Saída"
"2020-05-16Z","9677.7","1","Entrada"
"2020-05-20Z","9512.3","1","Saída"
"2020-05-26Z","9199.1","1","Entrada"
"2020-05-31Z","9454.8","1","Saída"
"2020-05-31Z","10189.3","1","Entrada"
"2020-06-02Z","9527.6","1","Saída"
"2020-06-03Z","9794.4","1","Entrada"
"2020-06-05Z","9631.2","1","Saída"
"2020-06-06Z","9742.6","1","Entrada"
"2020-06-11Z","9283.2","1","Saída"
"2020-06-14Z","9425.4","1","Entrada"
"2020-06-17Z","9464.6","1","Saída"
"2020-06-21Z","9683.7","1","Entrada"
"2020-06-24Z","9302.0","1","Saída"
"2020-06-27Z","9124.0","1","Entrada"
"2020-06-30Z","9135.4","1","Saída"
"2020-06-30Z","9229.9","1","Entrada"
"2020-07-02Z","9085.1","1","Saída"
"2020-07-03Z","9134.4","1","Entrada"
"2020-07-05Z","9081.0","1","Saída"
"2020-07-05Z","9339.0","1","Entrada"
"2020-07-09Z","9235.7","1","Saída"
"2020-07-11Z","9300.8","1","Entrada"
"2020-07-13Z","9243.6","1","Saída"
"2020-07-17Z","9170.2","1","Entrada"
"2020-07-20Z","9162.4","1","Saída"
"2020-07-20Z","9387.3","1","Entrada"
"2020-08-02Z","11066.8","1","Saída"
"2020-08-04Z","11735.1","1","Entrada"
"2020-08-07Z","11592.0","1","Saída"
"2020-08-07Z","11764.3","1","Entrada"
"2020-08-09Z","11681.2","1","Saída"
"2020-08-09Z","11889.2","1","Entrada"
"2020-08-11Z","11390.4","1","Saída"
"2020-08-12Z","11770.9","1","Entrada"
"2020-08-18Z","11947.6","1","Saída"
"2020-08-23Z","11753.5","1","Entrada"
"2020-08-25Z","11324.8","1","Saída"
"2020-08-27Z","11527.4","1","Entrada"
"2020-08-29Z","11468.1","1","Saída"
"2020-08-29Z","11702.0","1","Entrada"
"2020-09-02Z","11413.3","1","Saída"
"2020-09-05Z","10296.4","1","Entrada"
"2020-09-08Z","10126.6","1","Saída"
"2020-09-08Z","10224.6","1","Entrada"
"2020-09-13Z","10326.0","1","Saída"
"2020-09-13Z","10675.3","1","Entrada"
"2020-09-20Z","10921.5","1","Saída"
"2020-09-23Z","10739.4","1","Entrada"
"2020-09-28Z","10693.2","1","Saída"
"2020-09-28Z","10840.9","1","Entrada"
"2020-09-30Z","10776.1","1","Saída"
"2020-10-03Z","10672.9","1","Entrada"
"2020-10-06Z","10602.6","1","Saída"
"2020-10-06Z","10670.9","1","Entrada"
"2020-10-13Z","11423.8","1","Saída"
"2020-10-14Z","11503.0","1","Entrada"
"2020-10-16Z","11322.0","1","Saída"
"2020-10-17Z","11506.9","1","Entrada"
"2020-10-25Z","13032.2","1","Saída"
"2020-10-26Z","13657.8","1","Entrada"
"2020-10-28Z","13278.9","1","Saída"
"2020-10-30Z","13797.3","1","Entrada"
"2020-11-01Z","13759.4","1","Saída"
"2020-11-02Z","14019.9","1","Entrada"
"2020-11-07Z","14828.4","1","Saída"
"2020-11-10Z","15695.8","1","Entrada"
"2020-11-14Z","16071.0","1","Saída"
"2020-11-15Z","16715.8","1","Entrada"
"2020-11-22Z","18412.9","1","Saída"
"2020-11-23Z","19152.6","1","Entrada"
"2020-11-25Z","18723.0","1","Saída"
"2020-11-28Z","18185.5","1","Entrada"
"2020-12-01Z","18770.7","1","Saída"
"2020-12-01Z","19218.8","1","Entrada"
"2020-12-04Z","18658.1","1","Saída"
"2020-12-05Z","19379.9","1","Entrada"
"2020-12-07Z","19170.7","1","Saída"
"2020-12-11Z","18808.9","1","Entrada"
"2020-12-20Z","23474.9","1","Saída"
"2020-12-21Z","23823.2","1","Entrada"
"2020-12-23Z","23257.9","1","Saída"
"2020-12-24Z","24689.6","1","Entrada"
"2021-01-04Z","32022.6","1","Saída"
"2021-01-04Z","33991.5","1","Entrada"
"2021-01-09Z","40151.9","1","Saída"
"2021-01-13Z","39175.7","1","Entrada"
"2021-01-15Z","36845.8","1","Saída"
"2021-01-17Z","36613.2","1","Entrada"
"2021-01-19Z","36002.9","1","Saída"
"2021-01-25Z","32502.1","1","Entrada"
"2021-01-27Z","30404.0","1","Saída"
"2021-01-27Z","33374.8","1","Entrada"
"2021-01-31Z","33108.1","1","Saída"
"2021-01-31Z","33515.7","1","Entrada"
"2021-02-10Z","44836.0","1","Saída"
"2021-02-10Z","47990.7","1","Entrada"
"2021-02-12Z","47371.7","1","Saída"
"2021-02-13Z","48643.4","1","Entrada"
"2021-02-15Z","47936.3","1","Saída"
"2021-02-15Z","49169.7","1","Entrada"
"2021-02-22Z","54111.8","1","Saída"
"2021-02-28Z","49595.5","1","Entrada"
"2021-03-04Z","48428.0","1","Saída"
"2021-03-06Z","50982.3","1","Entrada"
"2021-03-14Z","59113.7","1","Saída"
"2021-03-16Z","58913.5","1","Entrada"
"2021-03-18Z","57656.0","1","Saída"
"2021-03-25Z","55036.1","1","Entrada"
"2021-04-03Z","57059.9","1","Saída"
"2021-04-04Z","58993.4","1","Entrada"
"2021-04-06Z","57996.3","1","Saída"
"2021-04-07Z","58077.4","1","Entrada"
"2021-04-16Z","61379.7","1","Saída"
"2021-04-25Z","54020.5","1","Entrada"
"2021-04-29Z","53560.8","1","Saída"
