"Data","Valor","Cotas","Tipo"
"2020-05-29Z","24363.0","1","Entrada"
"2020-06-02Z","23794.0","1","Saída"
"2020-06-02Z","24452.0","1","Entrada"
"2020-06-04Z","24337.0","1","Saída"
"2020-06-06Z","24456.0","1","Entrada"
"2020-06-09Z","24382.0","1","Saída"
"2020-06-09Z","24778.0","1","Entrada"
"2020-06-11Z","23071.0","1","Saída"
"2020-06-15Z","23536.0","1","Entrada"
"2020-06-17Z","23388.0","1","Saída"
"2020-06-21Z","24325.0","1","Entrada"
"2020-06-24Z","23475.0","1","Saída"
"2020-06-28Z","22787.0","1","Entrada"
"2020-06-30Z","22563.0","1","Saída"
"2020-06-30Z","23095.0","1","Entrada"
"2020-07-02Z","22642.0","1","Saída"
"2020-07-03Z","22915.0","1","Entrada"
"2020-07-09Z","24202.0","1","Saída"
"2020-07-11Z","24275.0","1","Entrada"
"2020-07-13Z","23973.0","1","Saída"
"2020-07-17Z","23575.0","1","Entrada"
"2020-07-20Z","23610.0","1","Saída"
"2020-07-20Z","24553.0","1","Entrada"
"2020-07-28Z","31696.0","1","Saída"
"2020-07-29Z","33487.0","1","Entrada"
"2020-08-02Z","37208.0","1","Saída"
"2020-08-04Z","40079.0","1","Entrada"
"2020-08-06Z","39483.0","1","Saída"
"2020-08-12Z","42431.0","1","Entrada"
"2020-08-15Z","43218.0","1","Saída"
"2020-08-15Z","43363.0","1","Entrada"
"2020-08-17Z","43056.0","1","Saída"
"2020-08-23Z","40770.0","1","Entrada"
"2020-08-25Z","38320.0","1","Saída"
"2020-08-27Z","39511.0","1","Entrada"
"2020-09-02Z","43908.0","1","Saída"
"2020-09-08Z","35110.0","1","Entrada"
"2020-09-13Z","36571.0","1","Saída"
"2020-09-13Z","37670.0","1","Entrada"
"2020-09-15Z","36401.0","1","Saída"
"2020-09-16Z","38897.0","1","Entrada"
"2020-09-20Z","37112.0","1","Saída"
"2020-09-23Z","34917.0","1","Entrada"
"2020-10-01Z","35307.0","1","Saída"
"2020-10-03Z","35273.0","1","Entrada"
"2020-10-06Z","34061.0","1","Saída"
"2020-10-07Z","35083.0","1","Entrada"
"2020-10-14Z","37915.0","1","Saída"
"2020-10-17Z","37781.0","1","Entrada"
"2020-10-20Z","36835.0","1","Saída"
"2020-10-20Z","39120.0","1","Entrada"
"2020-10-25Z","40609.0","1","Saída"
"2020-10-31Z","39629.0","1","Entrada"
"2020-11-02Z","38353.0","1","Saída"
"2020-11-03Z","40219.0","1","Entrada"
"2020-11-07Z","43540.0","1","Saída"
"2020-11-07Z","45468.0","1","Entrada"
"2020-11-09Z","44433.0","1","Saída"
"2020-11-09Z","45022.0","1","Entrada"
"2020-11-14Z","46070.0","1","Saída"
"2020-11-16Z","48195.0","1","Entrada"
"2020-11-19Z","47121.0","1","Saída"
"2020-11-19Z","50998.0","1","Entrada"
"2020-11-25Z","56967.0","1","Saída"
"2020-11-28Z","57545.0","1","Entrada"
"2020-12-01Z","58566.0","1","Saída"
"2020-12-02Z","61632.0","1","Entrada"
"2020-12-04Z","56791.0","1","Saída"
"2020-12-05Z","60168.0","1","Entrada"
"2020-12-07Z","59109.0","1","Saída"
"2020-12-11Z","56778.0","1","Entrada"
"2020-12-20Z","63826.0","1","Saída"
"2020-12-21Z","63747.0","1","Entrada"
"2020-12-23Z","58569.0","1","Saída"
"2020-12-24Z","62693.0","1","Entrada"
"2020-12-31Z","73594.0","1","Saída"
"2021-01-01Z","77450.0","1","Entrada"
"2021-01-04Z","1.042","1","Saída"
"2021-01-23Z","1.39","1","Entrada"
"2021-01-27Z","1.247","1","Saída"
"2021-01-27Z","1.328","1","Entrada"
"2021-01-31Z","1.312","1","Saída"
"2021-01-31Z","1.373","1","Entrada"
"2021-02-15Z","1.778","1","Saída"
"2021-02-15Z","1.781","1","Entrada"
"2021-02-22Z","1.777","1","Saída"
"2021-02-23Z","1.623","1","Entrada"
"2021-02-25Z","1.476","1","Saída"
"2021-02-28Z","1.57","1","Entrada"
"2021-03-12Z","1.766","1","Saída"
"2021-03-12Z","1.921","1","Entrada"
"2021-03-18Z","1.776","1","Saída"
"2021-03-18Z","1.809","1","Entrada"
"2021-03-21Z","1.783","1","Saída"
"2021-03-25Z","1.698","1","Entrada"
"2021-04-07Z","1.961","1","Saída"
"2021-04-07Z","2.079","1","Entrada"
"2021-04-17Z","2.318","1","Saída"
"2021-04-19Z","2.332","1","Entrada"
"2021-04-24Z","2.215","1","Saída"
