"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"2020-05-29T00:00:00Z[Etc/UTC]","220.66","220.14","224.52","217.84","12.36","---"
"2020-05-30T00:00:00Z[Etc/UTC]","243.63","220.66","246.55","218.86","14.34","---"
"2020-05-31T00:00:00Z[Etc/UTC]","231.81","243.63","245.33","230.31","12.43","---"
"2020-06-01T00:00:00Z[Etc/UTC]","247.97","231.8","249.81","230.85","11.97","---"
"2020-06-02T00:00:00Z[Etc/UTC]","237.94","248.01","253.21","227.95","12.69","---"
"2020-06-03T00:00:00Z[Etc/UTC]","244.52","237.9","244.76","233.84","8.15","---"
"2020-06-04T00:00:00Z[Etc/UTC]","243.37","244.53","246.41","236.68","8.75","---"
"2020-06-05T00:00:00Z[Etc/UTC]","240.23","243.37","247.5","239.7","7.75","---"
"2020-06-06T00:00:00Z[Etc/UTC]","242.0","240.27","244.43","238.38","6.62","---"
"2020-06-07T00:00:00Z[Etc/UTC]","244.56","242.0","244.94","235.44","8.1","---"
"2020-06-08T00:00:00Z[Etc/UTC]","246.18","244.56","247.11","241.3","6.55","---"
"2020-06-09T00:00:00Z[Etc/UTC]","243.82","246.19","249.45","240.18","6.86","---"
"2020-06-10T00:00:00Z[Etc/UTC]","247.78","243.82","249.51","242.54","7.63","---"
"2020-06-11T00:00:00Z[Etc/UTC]","230.71","247.79","249.77","227.01","12.4","---"
"2020-06-12T00:00:00Z[Etc/UTC]","237.54","230.72","239.23","228.62","7.34","---"
"2020-06-13T00:00:00Z[Etc/UTC]","238.22","237.55","238.61","234.86","5.27","---"
"2020-06-14T00:00:00Z[Etc/UTC]","232.02","238.23","238.48","230.52","5.78","---"
"2020-06-15T00:00:00Z[Etc/UTC]","230.93","231.99","233.34","219.06","10.18","---"
"2020-06-16T00:00:00Z[Etc/UTC]","235.36","230.92","235.95","228.99","7.03","---"
"2020-06-17T00:00:00Z[Etc/UTC]","233.88","235.37","236.55","228.63","5.94","---"
"2020-06-18T00:00:00Z[Etc/UTC]","231.34","233.85","234.69","228.13","4.96","---"
"2020-06-19T00:00:00Z[Etc/UTC]","229.11","231.34","231.94","226.97","5.56","---"
"2020-06-20T00:00:00Z[Etc/UTC]","228.86","229.11","230.96","226.28","4.54","---"
"2020-06-21T00:00:00Z[Etc/UTC]","228.13","228.87","231.18","227.38","4.1","---"
"2020-06-22T00:00:00Z[Etc/UTC]","243.25","228.11","246.39","227.69","7.93","---"
"2020-06-23T00:00:00Z[Etc/UTC]","243.2","243.24","244.77","240.94","5.16","---"
"2020-06-24T00:00:00Z[Etc/UTC]","234.75","243.2","249.23","231.56","9.13","---"
"2020-06-25T00:00:00Z[Etc/UTC]","232.56","234.75","235.29","227.99","6.48","---"
"2020-06-26T00:00:00Z[Etc/UTC]","229.67","232.57","233.5","228.16","6.96","---"
"2020-06-27T00:00:00Z[Etc/UTC]","221.06","229.72","231.3","217.11","7.21","---"
"2020-06-28T00:00:00Z[Etc/UTC]","225.09","221.07","227.74","218.46","5.91","---"
"2020-06-29T00:00:00Z[Etc/UTC]","227.87","225.09","229.83","221.6","6.8","---"
"2020-06-30T00:00:00Z[Etc/UTC]","225.63","227.88","228.57","223.23","5.6","---"
"2020-07-01T00:00:00Z[Etc/UTC]","230.95","225.61","232.47","224.33","6.31","---"
"2020-07-02T00:00:00Z[Etc/UTC]","226.42","230.96","232.04","223.53","7.28","---"
"2020-07-03T00:00:00Z[Etc/UTC]","225.12","226.42","228.14","224.77","5.2","---"
"2020-07-04T00:00:00Z[Etc/UTC]","229.15","225.09","230.4","224.8","5.45","---"
"2020-07-05T00:00:00Z[Etc/UTC]","227.98","229.09","229.8","223.79","5.41","---"
"2020-07-06T00:00:00Z[Etc/UTC]","241.56","227.95","241.64","227.1","9.45","---"
"2020-07-07T00:00:00Z[Etc/UTC]","239.25","241.56","243.43","234.92","6.26","---"
"2020-07-08T00:00:00Z[Etc/UTC]","246.99","239.26","248.76","238.0","12.98","---"
"2020-07-09T00:00:00Z[Etc/UTC]","242.02","246.93","247.63","238.28","9.02","---"
"2020-07-10T00:00:00Z[Etc/UTC]","241.26","242.01","242.17","236.19","6.84","---"
"2020-07-11T00:00:00Z[Etc/UTC]","239.2","241.21","241.64","237.76","6.42","---"
"2020-07-12T00:00:00Z[Etc/UTC]","242.75","239.2","243.79","236.91","6.81","---"
"2020-07-13T00:00:00Z[Etc/UTC]","239.73","242.84","245.04","237.71","8.32","---"
"2020-07-14T00:00:00Z[Etc/UTC]","240.5","239.75","242.08","237.21","7.07","---"
"2020-07-15T00:00:00Z[Etc/UTC]","238.62","240.49","241.36","237.04","7.35","---"
"2020-07-16T00:00:00Z[Etc/UTC]","233.65","238.62","239.47","230.44","6.63","---"
"2020-07-17T00:00:00Z[Etc/UTC]","232.75","233.65","234.53","231.84","5.88","---"
"2020-07-18T00:00:00Z[Etc/UTC]","235.75","232.77","236.83","232.4","5.79","---"
"2020-07-19T00:00:00Z[Etc/UTC]","239.01","235.72","239.7","233.35","6.61","---"
