"Data","Valor","Cotas","Tipo"
"2020-05-30T00:00:00Z[Etc/UTC]","0.1266876","5.2E-4","Entrada"
"2020-06-02T00:00:00Z[Etc/UTC]","0.12372879999999999","5.2E-4","Saída"
"2020-06-03T00:00:00Z[Etc/UTC]","0.1271504","5.2E-4","Entrada"
"2020-06-04T00:00:00Z[Etc/UTC]","0.12655239999999998","5.2E-4","Saída"
"2020-06-07T00:00:00Z[Etc/UTC]","0.1271712","5.2E-4","Entrada"
"2020-06-09T00:00:00Z[Etc/UTC]","0.1267864","5.2E-4","Saída"
"2020-06-10T00:00:00Z[Etc/UTC]","0.1288456","5.2E-4","Entrada"
"2020-06-11T00:00:00Z[Etc/UTC]","0.1199692","5.2E-4","Saída"
"2020-06-16T00:00:00Z[Etc/UTC]","0.1223872","5.2E-4","Entrada"
"2020-06-17T00:00:00Z[Etc/UTC]","0.12161759999999999","5.2E-4","Saída"
"2020-06-22T00:00:00Z[Etc/UTC]","0.12649","5.2E-4","Entrada"
"2020-06-24T00:00:00Z[Etc/UTC]","0.12206999999999998","5.2E-4","Saída"
"2020-06-29T00:00:00Z[Etc/UTC]","0.1184924","5.2E-4","Entrada"
"2020-06-30T00:00:00Z[Etc/UTC]","0.11732759999999999","5.2E-4","Saída"
"2020-07-01T00:00:00Z[Etc/UTC]","0.120094","5.2E-4","Entrada"
"2020-07-02T00:00:00Z[Etc/UTC]","0.11773839999999998","5.2E-4","Saída"
"2020-07-04T00:00:00Z[Etc/UTC]","0.119158","5.2E-4","Entrada"
"2020-07-09T00:00:00Z[Etc/UTC]","0.1258504","5.2E-4","Saída"
"2020-07-12T00:00:00Z[Etc/UTC]","0.12623","5.2E-4","Entrada"
"2020-07-13T00:00:00Z[Etc/UTC]","0.12465959999999998","5.2E-4","Saída"
"2020-07-18T00:00:00Z[Etc/UTC]","0.12259","5.2E-4","Entrada"
"2020-07-20T00:00:00Z[Etc/UTC]","0.12277199999999999","5.2E-4","Saída"
"2020-07-21T00:00:00Z[Etc/UTC]","0.1276756","5.2E-4","Entrada"
"2020-07-28T00:00:00Z[Etc/UTC]","0.16481919999999997","5.2E-4","Saída"
"2020-07-30T00:00:00Z[Etc/UTC]","0.1741324","5.2E-4","Entrada"
"2020-08-02T00:00:00Z[Etc/UTC]","0.19348159999999998","5.2E-4","Saída"
"2020-08-05T00:00:00Z[Etc/UTC]","0.2084108","5.2E-4","Entrada"
"2020-08-06T00:00:00Z[Etc/UTC]","0.20531159999999998","5.2E-4","Saída"
"2020-08-13T00:00:00Z[Etc/UTC]","0.2206412","5.2E-4","Entrada"
"2020-08-15T00:00:00Z[Etc/UTC]","0.22473359999999998","5.2E-4","Saída"
"2020-08-16T00:00:00Z[Etc/UTC]","0.2254876","5.2E-4","Entrada"
"2020-08-17T00:00:00Z[Etc/UTC]","0.22389119999999998","5.2E-4","Saída"
"2020-08-24T00:00:00Z[Etc/UTC]","0.212004","5.2E-4","Entrada"
"2020-08-25T00:00:00Z[Etc/UTC]","0.19926399999999997","5.2E-4","Saída"
"2020-08-28T00:00:00Z[Etc/UTC]","0.2054572","5.2E-4","Entrada"
"2020-09-02T00:00:00Z[Etc/UTC]","0.22832159999999996","5.2E-4","Saída"
"2020-09-09T00:00:00Z[Etc/UTC]","0.182572","5.2E-4","Entrada"
"2020-09-13T00:00:00Z[Etc/UTC]","0.19016919999999998","5.2E-4","Saída"
"2020-09-14T00:00:00Z[Etc/UTC]","0.195884","5.2E-4","Entrada"
"2020-09-15T00:00:00Z[Etc/UTC]","0.1892852","5.2E-4","Saída"
"2020-09-17T00:00:00Z[Etc/UTC]","0.2022644","5.2E-4","Entrada"
"2020-09-20T00:00:00Z[Etc/UTC]","0.1929824","5.2E-4","Saída"
"2020-09-24T00:00:00Z[Etc/UTC]","0.1815684","5.2E-4","Entrada"
"2020-10-01T00:00:00Z[Etc/UTC]","0.1835964","5.2E-4","Saída"
"2020-10-04T00:00:00Z[Etc/UTC]","0.1834196","5.2E-4","Entrada"
"2020-10-06T00:00:00Z[Etc/UTC]","0.1771172","5.2E-4","Saída"
"2020-10-08T00:00:00Z[Etc/UTC]","0.1824316","5.2E-4","Entrada"
"2020-10-14T00:00:00Z[Etc/UTC]","0.19715799999999997","5.2E-4","Saída"
"2020-10-18T00:00:00Z[Etc/UTC]","0.1964612","5.2E-4","Entrada"
"2020-10-20T00:00:00Z[Etc/UTC]","0.191542","5.2E-4","Saída"
"2020-10-21T00:00:00Z[Etc/UTC]","0.203424","5.2E-4","Entrada"
"2020-10-25T00:00:00Z[Etc/UTC]","0.21116679999999996","5.2E-4","Saída"
"2020-11-01T00:00:00Z[Etc/UTC]","0.2060708","5.2E-4","Entrada"
"2020-11-02T00:00:00Z[Etc/UTC]","0.19943559999999996","5.2E-4","Saída"
"2020-11-04T00:00:00Z[Etc/UTC]","0.2091388","5.2E-4","Entrada"
"2020-11-07T00:00:00Z[Etc/UTC]","0.22640799999999997","5.2E-4","Saída"
"2020-11-08T00:00:00Z[Etc/UTC]","0.2364336","5.2E-4","Entrada"
