"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"2021-05-29","2,249.89","2,411.68","2,567.42","2,207.21","2.91M","-6,81"
"2021-05-28","2,414.29","2,742.39","2,760.17","2,332.43","3.26M","-11,75"
"2021-05-27","2,735.88","2,885.02","2,885.87","2,638.62","2.39M","-5,16"
"2021-05-26","2,884.66","2,705.69","2,908.37","2,648.10","2.66M","6,64"
"2021-05-25","2,705.09","2,647.27","2,747.49","2,388.81","3.28M","2,2"
"2021-05-24","2,646.79","2,101.30","2,667.20","2,080.87","3.24M","25,96"
"2021-05-23","2,101.34","2,292.68","2,379.89","1,739.91","3.52M","-8,3"
"2021-05-22","2,291.60","2,433.09","2,481.06","2,162.84","2.82M","-5,82"
"2021-05-21","2,433.11","2,766.88","2,931.66","2,111.42","4.23M","-12,4"
"2021-05-20","2,777.55","2,436.59","2,988.52","2,163.40","4.33M","14,04"
"2021-05-19","2,435.69","3,376.22","3,434.01","1,922.25","6.42M","-27,89"
"2021-05-18","3,377.55","3,280.50","3,558.57","3,244.93","2.30M","2,98"
"2021-05-17","3,279.68","3,582.19","3,582.27","3,130.12","2.85M","-8,44"
"2021-05-16","3,582.12","3,643.67","3,877.20","3,351.92","2.28M","-1,63"
"2021-05-15","3,641.65","4,074.57","4,129.99","3,639.12","1.94M","-10,64"
"2021-05-14","4,075.38","3,719.46","4,171.76","3,694.54","2.06M","9,56"
"2021-05-13","3,719.62","3,807.50","4,031.99","3,539.96","3.21M","-2,42"
"2021-05-12","3,811.77","4,173.61","4,366.10","3,794.15","2.78M","-8,54"
"2021-05-11","4,167.78","3,948.66","4,177.53","3,781.86","1.27M","5,57"
"2021-05-10","3,947.90","3,923.48","4,203.98","3,669.84","2.70M","0,65"
"2021-05-09","3,922.23","3,905.69","3,979.77","3,734.44","1.94M","0,43"
"2021-05-08","3,905.55","3,479.81","3,952.88","3,453.37","1.34M","12,19"
"2021-05-07","3,481.22","3,490.83","3,583.34","3,363.56","1.35M","-0,24"
"2021-05-06","3,489.52","3,522.74","3,601.59","3,380.60","1.51M","-0,94"
"2021-05-05","3,522.76","3,284.31","3,540.78","3,228.86","1.87M","7,18"
"2021-05-04","3,286.71","3,429.48","3,516.34","3,188.90","2.74M","-4,16"
"2021-05-03","3,429.37","2,950.07","3,451.44","2,950.07","2.32M","16,24"
