"Data","Valor","Cotas","Tipo"
"2020-05-29","24363.0","1","Entrada"
"2020-06-02","23794.0","1","Saída"
"2020-06-02","24452.0","1","Entrada"
"2020-06-04","24337.0","1","Saída"
"2020-06-06","24456.0","1","Entrada"
"2020-06-09","24382.0","1","Saída"
"2020-06-09","24778.0","1","Entrada"
"2020-06-11","23071.0","1","Saída"
"2020-06-15","23536.0","1","Entrada"
"2020-06-17","23388.0","1","Saída"
"2020-06-21","24325.0","1","Entrada"
"2020-06-24","23475.0","1","Saída"
"2020-06-28","22787.0","1","Entrada"
"2020-06-30","22563.0","1","Saída"
"2020-06-30","23095.0","1","Entrada"
"2020-07-02","22642.0","1","Saída"
"2020-07-03","22915.0","1","Entrada"
"2020-07-09","24202.0","1","Saída"
"2020-07-11","24275.0","1","Entrada"
"2020-07-13","23973.0","1","Saída"
"2020-07-17","23575.0","1","Entrada"
"2020-07-20","23610.0","1","Saída"
"2020-07-20","24553.0","1","Entrada"
"2020-07-28","31696.0","1","Saída"
"2020-07-29","33487.0","1","Entrada"
"2020-08-02","37208.0","1","Saída"
"2020-08-04","40079.0","1","Entrada"
"2020-08-06","39483.0","1","Saída"
"2020-08-12","42431.0","1","Entrada"
"2020-08-15","43218.0","1","Saída"
"2020-08-15","43363.0","1","Entrada"
"2020-08-17","43056.0","1","Saída"
"2020-08-23","40770.0","1","Entrada"
"2020-08-25","38320.0","1","Saída"
"2020-08-27","39511.0","1","Entrada"
"2020-09-02","43908.0","1","Saída"
"2020-09-08","35110.0","1","Entrada"
"2020-09-13","36571.0","1","Saída"
"2020-09-13","37670.0","1","Entrada"
"2020-09-15","36401.0","1","Saída"
"2020-09-16","38897.0","1","Entrada"
"2020-09-20","37112.0","1","Saída"
"2020-09-23","34917.0","1","Entrada"
"2020-10-01","35307.0","1","Saída"
"2020-10-03","35273.0","1","Entrada"
"2020-10-06","34061.0","1","Saída"
"2020-10-07","35083.0","1","Entrada"
"2020-10-14","37915.0","1","Saída"
"2020-10-17","37781.0","1","Entrada"
"2020-10-20","36835.0","1","Saída"
"2020-10-20","39120.0","1","Entrada"
"2020-10-25","40609.0","1","Saída"
"2020-10-31","39629.0","1","Entrada"
"2020-11-02","38353.0","1","Saída"
"2020-11-03","40219.0","1","Entrada"
"2020-11-07","43540.0","1","Saída"
"2020-11-07","45468.0","1","Entrada"
"2020-11-09","44433.0","1","Saída"
"2020-11-09","45022.0","1","Entrada"
"2020-11-14","46070.0","1","Saída"
"2020-11-16","48195.0","1","Entrada"
"2020-11-19","47121.0","1","Saída"
"2020-11-19","50998.0","1","Entrada"
"2020-11-25","56967.0","1","Saída"
"2020-11-28","57545.0","1","Entrada"
"2020-12-01","58566.0","1","Saída"
"2020-12-02","61632.0","1","Entrada"
"2020-12-04","56791.0","1","Saída"
"2020-12-05","60168.0","1","Entrada"
"2020-12-07","59109.0","1","Saída"
"2020-12-11","56778.0","1","Entrada"
"2020-12-20","63826.0","1","Saída"
"2020-12-21","63747.0","1","Entrada"
"2020-12-23","58569.0","1","Saída"
"2020-12-24","62693.0","1","Entrada"
"2020-12-31","73594.0","1","Saída"
"2021-01-01","77450.0","1","Entrada"
"2021-01-04","1.042","1","Saída"
"2021-01-23","1.39","1","Entrada"
"2021-01-27","1.247","1","Saída"
"2021-01-27","1.328","1","Entrada"
"2021-01-31","1.312","1","Saída"
"2021-01-31","1.373","1","Entrada"
"2021-02-15","1.778","1","Saída"
"2021-02-15","1.781","1","Entrada"
"2021-02-22","1.777","1","Saída"
"2021-02-23","1.623","1","Entrada"
"2021-02-25","1.476","1","Saída"
"2021-02-28","1.57","1","Entrada"
"2021-03-12","1.766","1","Saída"
"2021-03-12","1.921","1","Entrada"
"2021-03-18","1.776","1","Saída"
"2021-03-18","1.809","1","Entrada"
"2021-03-21","1.783","1","Saída"
"2021-03-25","1.698","1","Entrada"
"2021-04-07","1.961","1","Saída"
"2021-04-07","2.079","1","Entrada"
"2021-04-17","2.318","1","Saída"
"2021-04-19","2.332","1","Entrada"
"2021-04-24","2.215","1","Saída"
